NumberOfMonths,Artist,Album,SongName,January 2016,February 2016,March 2016,April 2016,May 2016,June 2016,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,April 2023,May 2023,June 2023,July 2023,LongestStreak,CurrentStreak
9,4,Taylor Swift,evermore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no body, no crime (feat. HAIM)","no body, no crime (feat. HAIM)","no body, no crime (feat. HAIM)","no body, no crime (feat. HAIM)",NA,"no body, no crime (feat. HAIM)",NA,NA,"no body, no crime (feat. HAIM)","no body, no crime (feat. HAIM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no body, no crime (feat. HAIM)","no body, no crime (feat. Haim)",4,2
14,4,Honne,Over Lover - EP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Place Like Home (feat. Jones),No Place Like Home (feat. Jones),No Place Like Home (feat. Jones),NA,No Place Like Home (feat. Jones),No Place Like Home (feat. Jones),No Place Like Home (feat. Jones),No Place Like Home (feat. Jones),NA,NA,No Place Like Home (feat. Jones),NA,No Place Like Home (feat. Jones),No Place Like Home (feat. Jones),NA,NA,NA,No Place Like Home (feat. Jones),NA,NA,No Place Like Home (feat. Jones),NA,NA,NA,NA,NA,No Place Like Home (feat. Jones),No Place Like Home (feat. Jones),NA,4,0
2,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nonsense,Nonsense,2,2
19,16,Quinn XCII,A Letter to My Younger Self,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Notice Me,Notice Me,Notice Me,Notice Me,Notice Me,Notice Me,Notice Me,Notice Me,Notice Me,Notice Me,Notice Me,Notice Me,Notice Me,Notice Me,Notice Me,Notice Me,NA,NA,Notice Me,NA,NA,NA,NA,Notice Me,Notice Me,NA,NA,16,0
17,5,Nick Jonas,Nick Jonas,Numb (feat. Angel Haze),Numb (feat. Angel Haze),Numb (feat. Angel Haze),Numb (feat. Angel Haze),Numb (feat. Angel Haze),NA,NA,NA,Numb (feat. Angel Haze),NA,NA,NA,Numb (feat. Angel Haze),Numb (feat. Angel Haze),NA,NA,NA,NA,NA,NA,NA,NA,Numb (feat. Angel Haze),Numb (feat. Angel Haze),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Numb (feat. Angel Haze),Numb (feat. Angel Haze),Numb (feat. Angel Haze),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Numb (feat. Angel Haze),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Numb (feat. Angel Haze),Numb (feat. Angel Haze),Numb (feat. Angel Haze),NA,NA,NA,NA,NA,5,0
7,3,Justin Bieber,Justice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Off My Face,Off My Face,Off My Face,NA,Off My Face,NA,NA,Off My Face,NA,Off My Face,NA,NA,Off My Face,NA,NA,NA,3,0
15,4,Usher,Raymond v Raymond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OMG (feat. will.i.am),OMG (feat. will.i.am),OMG (feat. will.i.am),OMG (feat. will.i.am),NA,NA,NA,NA,NA,NA,NA,NA,NA,OMG (feat. will.i.am),OMG (feat. will.i.am),NA,NA,NA,OMG (feat. will.i.am),NA,NA,NA,OMG (feat. will.i.am),OMG (feat. will.i.am),OMG (feat. will.i.am),NA,OMG (feat. will.i.am),NA,NA,NA,NA,NA,NA,NA,NA,NA,OMG (feat. will.i.am),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OMG (feat. will.i.am),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OMG (feat. will.i.am),OMG (feat. will.i.am),NA,NA,NA,NA,4,0
20,10,Old Dominion,Old Dominion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,One Man Band,One Man Band,One Man Band,One Man Band,One Man Band,One Man Band,One Man Band,One Man Band,One Man Band,One Man Band,NA,NA,One Man Band,One Man Band,NA,NA,NA,NA,NA,NA,One Man Band,One Man Band,One Man Band,One Man Band,NA,NA,NA,NA,One Man Band,One Man Band,NA,NA,NA,NA,NA,NA,One Man Band,One Man Band,NA,NA,NA,10,0
14,6,Moby,18 & 18 B-Sides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,One of These Mornings,One of These Mornings,One of These Mornings,One of These Mornings,One of These Mornings,One of These Mornings,NA,NA,NA,NA,One of These Mornings,NA,NA,One of These Mornings,One of These Mornings,NA,NA,NA,NA,NA,NA,One of These Mornings,NA,One of These Mornings,NA,NA,NA,NA,NA,One of These Mornings,NA,One of These Mornings,NA,NA,NA,NA,One of These Mornings,NA,6,0
21,10,Khalid,Free Spirit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Outta My Head (feat. John Mayer),Outta My Head (feat. John Mayer),Outta My Head (feat. John Mayer),Outta My Head (feat. John Mayer),NA,NA,Outta My Head (feat. John Mayer),Outta My Head (feat. John Mayer),Outta My Head (feat. John Mayer),Outta My Head (feat. John Mayer),Outta My Head (feat. John Mayer),Outta My Head (feat. John Mayer),Outta My Head (feat. John Mayer),Outta My Head (feat. John Mayer),Outta My Head (feat. John Mayer),Outta My Head (feat. John Mayer),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Outta My Head (feat. John Mayer),NA,Outta My Head (feat. John Mayer),NA,NA,Outta My Head (feat. John Mayer),Outta My Head (feat. John Mayer),NA,Outta My Head (feat. John Mayer),NA,NA,Outta My Head (feat. John Mayer),NA,Outta My Head (feat. John Mayer),NA,NA,NA,10,0
2,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pancakes for Dinner,Pancakes for Dinner,2,2
13,4,Noah Kahan,Hurt Somebody - EP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Passenger,Passenger,Passenger,Passenger,NA,Passenger,Passenger,NA,Passenger,NA,NA,NA,NA,NA,Passenger,NA,Passenger,NA,NA,NA,NA,Passenger,Passenger,NA,NA,NA,Passenger,NA,NA,NA,NA,Passenger,NA,4,0
20,15,Bob Schneider,A Perfect Day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Peaches,Peaches,Peaches,Peaches,Peaches,Peaches,Peaches,Peaches,Peaches,Peaches,Peaches,Peaches,Peaches,Peaches,Peaches,NA,NA,NA,NA,NA,NA,Peaches,NA,Peaches,NA,NA,Peaches,NA,NA,NA,NA,Peaches,NA,NA,NA,NA,NA,Peaches,15,1
2,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Perfect,Perfect,2,2
14,8,Janelle Monáe,Dirty Computer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pynk (feat. Grimes),Pynk (feat. Grimes),Pynk (feat. Grimes),Pynk (feat. Grimes),Pynk (feat. Grimes),Pynk (feat. Grimes),Pynk (feat. Grimes),Pynk (feat. Grimes),NA,NA,Pynk (feat. Grimes),NA,NA,Pynk (feat. Grimes),NA,NA,NA,NA,NA,NA,Pynk (feat. Grimes),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pynk (feat. Grimes),NA,NA,NA,NA,NA,NA,NA,NA,NA,Pynk (feat. Grimes),NA,NA,NA,NA,NA,Pynk (feat. Grimes),8,1
21,3,P!nk,Greatest Hits...So Far!!!,NA,NA,NA,Raise Your Glass,Raise Your Glass,Raise Your Glass,NA,Raise Your Glass,NA,NA,NA,NA,Raise Your Glass,NA,NA,Raise Your Glass,NA,NA,Raise Your Glass,NA,NA,NA,NA,NA,Raise Your Glass,Raise Your Glass,Raise Your Glass,NA,NA,NA,Raise Your Glass,NA,NA,NA,Raise Your Glass,NA,Raise Your Glass,NA,Raise Your Glass,NA,NA,NA,Raise Your Glass,NA,NA,Raise Your Glass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raise Your Glass,NA,NA,NA,NA,NA,Raise Your Glass,NA,NA,NA,NA,Raise Your Glass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raise Your Glass,Raise Your Glass,NA,NA,3,0
8,2,Jamie N Commons,Rumble and Sway - EP,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rumble And Sway,NA,NA,NA,NA,NA,NA,NA,NA,Rumble And Sway,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rumble And Sway,NA,NA,Rumble And Sway,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rumble And Sway,Rumble And Sway,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rumble And Sway,NA,NA,NA,NA,NA,Rumble And Sway,2,1
17,13,Adele,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rumour Has It,Rumour Has It,Rumour Has It,Rumour Has It,Rumour Has It,Rumour Has It,Rumour Has It,Rumour Has It,Rumour Has It,Rumour Has It,Rumour Has It,Rumour Has It,Rumour Has It,NA,NA,NA,Rumour Has It,NA,NA,NA,NA,NA,Rumour Has It,NA,NA,NA,NA,Rumour Has It,Rumour Has It,NA,NA,13,0
29,6,Carly Rae Jepsen,E•MO•TION,NA,NA,NA,Run Away with Me,Run Away with Me,Run Away with Me,Run Away with Me,Run Away with Me,Run Away with Me,NA,Run Away with Me,NA,NA,NA,NA,NA,NA,Run Away with Me,NA,NA,NA,NA,NA,Run Away with Me,Run Away with Me,NA,Run Away with Me,Run Away with Me,NA,NA,NA,Run Away with Me,NA,NA,NA,NA,NA,Run Away with Me,NA,NA,NA,NA,NA,Run Away with Me,Run Away with Me,Run Away with Me,NA,NA,NA,NA,NA,Run Away with Me,NA,NA,NA,NA,NA,NA,NA,NA,NA,Run Away with Me,Run Away with Me,NA,NA,NA,NA,NA,NA,NA,NA,NA,Run Away with Me,Run Away with Me,Run Away with Me,Run Away with Me,Run Away with Me,NA,NA,NA,NA,Run Away with Me,Run Away with Me,NA,Run Away with Me,NA,NA,NA,NA,NA,Run Away with Me,6,1
21,5,Khalid,Free Spirit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saturday Nights,Saturday Nights,Saturday Nights,Saturday Nights,Saturday Nights,NA,Saturday Nights,Saturday Nights,Saturday Nights,Saturday Nights,NA,Saturday Nights,Saturday Nights,Saturday Nights,Saturday Nights,Saturday Nights,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saturday Nights,Saturday Nights,NA,NA,Saturday Nights,Saturday Nights,NA,Saturday Nights,NA,NA,NA,NA,Saturday Nights,Saturday Nights,NA,NA,5,0
5,1,Houndmouth,Little Neon Limelight,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sedona,NA,Sedona,Sedona,Sedona,NA,NA,NA,NA,Sedona,NA,3,0
16,7,Camila Cabello,Romance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shameless,Shameless,Shameless,Shameless,Shameless,NA,Shameless,Shameless,Shameless,Shameless,Shameless,Shameless,Shameless,NA,NA,Shameless,NA,NA,NA,NA,NA,NA,NA,Shameless,NA,NA,NA,NA,NA,NA,NA,Shameless,NA,Shameless,7,1
15,4,J. Cole,Born Sinner,She Knows (feat. Amber Coffman & Cults),She Knows (feat. Amber Coffman & Cults),She Knows (feat. Amber Coffman & Cults),She Knows (feat. Amber Coffman & Cults),NA,NA,NA,NA,NA,NA,NA,NA,She Knows (feat. Amber Coffman & Cults),She Knows (feat. Amber Coffman & Cults),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,She Knows (feat. Amber Coffman & Cults),NA,NA,She Knows (feat. Amber Coffman & Cults),She Knows (feat. Amber Coffman & Cults),NA,NA,She Knows (feat. Amber Coffman & Cults),NA,NA,NA,NA,She Knows (feat. Amber Coffman & Cults),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,She Knows (feat. Amber Coffman & Cults),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,She Knows (feat. Amber Coffman & Cults),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,She Knows (feat. Amber Coffman & Cults),She Knows (feat. Amber Coffman & Cults),NA,NA,NA,NA,4,0
35,7,Maroon 5,Songs About Jane,She Will Be Loved,She Will Be Loved,She Will Be Loved,She Will Be Loved,She Will Be Loved,She Will Be Loved,She Will Be Loved,She Will Be Loved,NA,NA,NA,NA,She Will Be Loved,She Will Be Loved,She Will Be Loved,She Will Be Loved,She Will Be Loved,She Will Be Loved,She Will Be Loved,She Will Be Loved,She Will Be Loved,NA,She Will Be Loved,She Will Be Loved,She Will Be Loved,She Will Be Loved,She Will Be Loved,She Will Be Loved,She Will Be Loved,NA,NA,She Will Be Loved,NA,She Will Be Loved,NA,She Will Be Loved,NA,NA,NA,NA,NA,She Will Be Loved,She Will Be Loved,She Will Be Loved,NA,NA,NA,NA,She Will Be Loved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,She Will Be Loved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,She Will Be Loved,NA,NA,NA,NA,NA,She Will Be Loved,NA,NA,She Will Be Loved,NA,9,0
5,3,Porter Robinson,Shelter - Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shelter (fear. Madeon),Shelter (fear. Madeon),Shelter (fear. Madeon),NA,Shelter (fear. Madeon),NA,Shelter (fear. Madeon),NA,NA,NA,NA,3,0
2,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shirt,Shirt,2,2
12,5,Sufjan Stevens,Carrie & Lowell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Should Have Known Better,Should Have Known Better,Should Have Known Better,Should Have Known Better,Should Have Known Better,NA,Should Have Known Better,Should Have Known Better,NA,NA,NA,NA,Should Have Known Better,NA,NA,NA,NA,NA,NA,NA,Should Have Known Better,Should Have Known Better,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Should Have Known Better,Should Have Known Better,5,2
20,8,P!nk,Funhouse,So What,So What,So What,So What,So What,So What,So What,So What,NA,NA,So What,So What,NA,So What,So What,NA,NA,So What,NA,NA,NA,NA,NA,So What,NA,NA,NA,NA,NA,So What,NA,NA,NA,NA,So What,So What,So What,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,So What,So What,NA,NA,8,0
10,6,Clairo,Immunity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sofia,Sofia,Sofia,Sofia,Sofia,Sofia,NA,Sofia,Sofia,Sofia,Sofia,NA,NA,NA,NA,NA,6,0
3,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Solamente,Solamente,NA,NA,NA,NA,Solamente,NA,2,0
8,4,Noah Kahan,I Was / I Am,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Someone Like You (feat. Joy Oladokun),Someone Like You (feat. Joy Oladokun),Someone Like You (feat. Joy Oladokun),Someone Like You (feat. Joy Oladokun),NA,Someone Like You (feat. Joy Oladokun),Someone Like You (feat. Joy Oladokun),Someone Like You (feat. Joy Oladokun),NA,NA,NA,NA,Someone Like You (feat. Joy Oladokun),NA,4,0
8,4,Nathaniel Rateliff,Closer - EP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Something Beautiful,Something Beautiful,Something Beautiful,Something Beautiful,NA,NA,Something Beautiful,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Something Beautiful,NA,NA,Something Beautiful,NA,NA,NA,Something Beautiful,NA,NA,4,0
12,3,Beyoncé,Lemonade,NA,NA,NA,NA,Sorry,Sorry,Sorry,NA,Sorry,NA,NA,NA,Sorry,NA,NA,NA,NA,NA,Sorry,Sorry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sorry,Sorry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sorry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sorry,Sorry,NA,NA,NA,NA,NA,3,0
23,17,Peter Cat Recording Co.,Bismillah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Soulless Friends,Soulless Friends,Soulless Friends,Soulless Friends,Soulless Friends,Soulless Friends,Soulless Friends,Soulless Friends,Soulless Friends,Soulless Friends,Soulless Friends,Soulless Friends,Soulless Friends,Soulless Friends,Soulless Friends,Soulless Friends,Soulless Friends,NA,Soulless Friends,NA,NA,Soulless Friends,NA,NA,NA,NA,NA,NA,Soulless Friends,NA,NA,Soulless Friends,NA,NA,NA,NA,Soulless Friends,Soulless Friends,NA,NA,NA,NA,NA,17,0
4,1,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spies,Spies,Spies,NA,NA,NA,NA,NA,Spies,3,1
16,13,Taylor Swift,Red,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,State of Grace,State of Grace,State of Grace,State of Grace,State of Grace,State of Grace,State of Grace,State of Grace,State of Grace,State of Grace,State of Grace,State of Grace,State of Grace,NA,NA,NA,NA,State of Grace,NA,NA,State of Grace,NA,NA,NA,State of Grace,NA,NA,13,0
